Year,Moderate Income (120% AMI),Median Income (AMI),Low Income (80% AMI),Very Low Income (50% AMI),Extremely Low Income (30% AMI),Acutely Low Income (15% AMI)
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,126000,105000,75700,52500,31500,
2013,,,,,,
2014,126600,105500,84900,53050,31850,
2015,,,,,,
2016,128500,107100,84900,55800,33500,
2017,135950,113300,84900,59700,35800,
2018,150250,125200,94450,66500,39900,
2019,157770,131400,103900,73150,43900,
2020,169900,141600,112150,78950,47350,
2021,181550,151300,117750,82850,49700,22700
2022,202200,168500,131750,84250,50550,25300
