Date,Stanford (PhD + 0-5 yrs),Stanford (PhD + 6+ yrs),NIH (PhD + 0 yrs),NIH (PhD + 1 yr),NIH (PhD + 2 yrs),NIH (PhD + 3 yrs),NIH (PhD + 4 yrs),NIH (PhD + 5 yrs),NIH (PhD + 6 yrs),NIH (PhD + 7 yrs)
1-Sep-2000,,,26916,,,,,,,
1-Sep-2001,,,28260,,,,,,,
1-Sep-2002,,,31092,,,,,,,
1-Sep-2003,,,34200,,,,,,,
1-Sep-2004,,,35568,,,,,,,
1-Sep-2005,,,35568,,,,,,,
1-Sep-2006,,,36996,,,,,,,
1-Sep-2007,,,36996,,,,,,,
1-Sep-2008,,,36996,,,,,,,
1-Sep-2009,,,37368,,,,,,,
1-Sep-2010,,,37740,,,,,,,
1-Sep-2011,,,38496,,,,,,,
1-Sep-2012,,,39264,41364,44340,46092,47820,49884,51582,54180
1-Sep-2013,,,39264,41364,44340,46092,47820,49884,51582,54180
1-Sep-2014,44310,,42000,43680,45432,47244,49128,51096,53148,55272
1-Sep-2015,50000,,42840,44556,46344,48192,50112,52116,54216,56376
1-Sep-2016,53406,,43692,45444,47268,49152,51120,53160,55296,57504
1-Sep-2017,53406,,47484,47844,48216,50316,52140,54228,56400,58560
1-Sep-2018,60000,,48432,48804,49188,51324,53184,55308,57528,59736
1-Sep-2019,63618,,50004,50376,50760,52896,54756,56880,59100,61308
1-Sep-2020,64268,64268,52704,53076,53460,55596,57456,59580,61800,64008
1-Sep-2021,65568,66888,53760,54144,54540,56712,58608,60780,63036,65292
1-Sep-2022,68238,69695,54840,55224,55632,57852,59784,61992,64296,66600
