County,Absolute Income ($),Income Adjusted for Local Cost of Living ($)
"Maricopa, AZ",46230,47709
"Pima, AZ",45237,48642
"Alameda, CA",48646,32780
"Los Angeles, CA",52427,38302
"Yolo, CA",46183,39711
"San Diego, CA",45368,31462
"San Francisco, CA",47490,26800
"Santa Clara, CA",52723,23653
"Denver, CO",44993,40792
"New Haven, CT",45758,36932
"Alachua, FL",43460,44392
"Clarke, GA",41619,42168
"DeKalb, GA",45104,45699
"Cook, IL",45611,38840
"Tippecanoe, IN",42806,49487
"Johnson, IA",45083,46718
"Douglas, KS",42815,46588
"Baltimore City, MD",46718,40448
"Montgomery, MD",53631,39993
"Prince George’s, MD",50331,37532
"Middlesex, MA",48433,34325
"Suffolk, MA",47454,32085
"Ingham, MI",44165,47901
"Washtenaw, MI",45757,43745
"Hennepin, MN",43955,41663
"Boone, MO",43030,45343
"St. Louis, MO",44916,49741
"Los Alamos, NM",60000,63291
"Monroe, NY",47311,46797
"New York, NY",50811,22304
"Orange, NC",45461,47404
"Franklin, OH",43978,48919
"Hamilton, OH",46443,50981
"Benton, OR",46996,46030
"Jackson, OR",45777,44836
"Multnomah, OR",45426,35378
"Allegheny, PA",44561,47480
"Philadelphia, PA",46293,39066
"Charleston, SC",45634,43921
"Dallas, TX",44910,44776
"Harris, TX",44896,45441
"McLennan, TX",45446,51527
"Salt Lake, UT",44873,47941
"King, WA",47374,32694
