State,Absolute Income ($),Income Adjusted for Local Cost of Living ($)
Alabama,42960,48394
Alaska,48750,37305
Arkansas,42030,45127
Arizona,45748,48305
California,48576,32036
Colorado,47184,42778
Connecticut,45776,36975
Delaware,45179,41988
District of Columbia,49947,33521
Florida,44394,45283
Georgia,43362,43933
Hawaii,54375,28603
Idaho,45313,51668
Illinois,45889,39032
Indiana,45655,49669
Iowa,44938,46935
Kansas,43422,47075
Kentucky,39125,43049
Louisiana,45012,46491
Maine,45500,40661
Maryland,49901,39862
Massachusetts,47908,33058
Michigan,45321,45011
Minnesota,43996,42254
Mississippi,41650,48922
Missouri,44388,48509
Montana,47850,47517
Nebraska,42132,46043
Nevada,42313,40520
New Hampshire,43975,41369
New Jersey,48026,39398
New Mexico,56736,59848
New York,48356,26027
North Carolina,44986,47325
North Dakota,43313,45005
Ohio,44869,49493
Oklahoma,44333,52660
Oregon,45900,42015
Pennsylvania,45361,43685
Rhode Island,47266,38743
South Carolina,44494,44244
South Dakota,41250,43977
Tennessee,47787,54644
Texas,44766,47202
Utah,44959,48033
Vermont,40667,48183
Virginia,44880,46967
Washington,47508,33181
West Virginia,39875,41710
Wisconsin,44424,41791
Wyoming,53750,58679
