Year,Date,Stanford (US$),NIH (US$),Difference (US$),Stanford min as Percentage of NIH min (%)
2000,1-Sep-00,,26916,,
2001,1-Sep-01,,28260,,
2002,1-Sep-02,,31092,,
2003,1-Sep-03,,34200,,
2004,1-Sep-04,,35568,,
2005,1-Sep-05,,35568,,
2006,1-Sep-06,,36996,,
2007,1-Sep-07,,36996,,
2008,1-Sep-08,,36996,,
2009,1-Sep-09,,37368,,
2010,1-Sep-10,,37740,,
2011,1-Sep-11,,38496,,
2012,1-Sep-12,,39264,,
2013,1-Sep-13,,39264,,
2014,1-Sep-14,44310,42000,2310,106
2015,1-Sep-15,50000,42840,7160,117
2016,1-Sep-16,53406,43692,9714,122
2017,1-Sep-17,53406,47484,5922,113
2018,1-Sep-18,60000,48432,11568,124
2019,1-Sep-19,63618,50004,13614,127
2020,1-Sep-20,64268,52704,11564,122
2021,1-Sep-21,65568,53760,11808,122
2022,1-Sep-22,68238,54840,13398,125
